signal_regime,model,n_features,mean,std,count
fixed,nori,10,0.9493772409129949,0.004766126059770487,5
fixed,nori,20,0.9500936753757463,0.004524153011412098,5
fixed,nori,50,0.9487068654246118,0.004939812567097137,5
fixed,nori,100,0.9468504146723996,0.004983567159818265,5
fixed,nori,200,0.9450634492315503,0.006639129598100018,5
fixed,nori,500,0.9277158792648535,0.005185456066446409,5
fixed,nori,1000,0.930262645479828,0.0071907350749742215,5
fixed,nori,2000,0.9297448764674987,0.004945571588436116,5
fixed,nori,5000,0.932727569960244,0.005075471278876622,5
fixed,nori,10000,0.9316423711375524,0.0056933008436292985,5
fixed,random_forest,10,0.7750749944231995,0.020957890630397383,5
fixed,random_forest,20,0.7258427915073602,0.02341286655714722,5
fixed,random_forest,50,0.7094446603343953,0.022792151459598266,5
fixed,random_forest,100,0.7228686376167811,0.020220182140763363,5
fixed,random_forest,200,0.7271966718799734,0.018808750888366404,5
fixed,random_forest,500,0.7422050479323924,0.02046061580389372,5
fixed,random_forest,1000,0.7539419005147184,0.021602088776352658,5
fixed,random_forest,2000,0.7618353894576704,0.02254831767775586,5
fixed,random_forest,5000,0.7662515256456913,0.023943155858121734,5
fixed,random_forest,10000,0.7714985068011387,0.02114528060798871,5
fixed,ridge,10,0.3820853094150641,0.15122071023172573,5
fixed,ridge,20,0.4393653167943346,0.16749483376744995,5
fixed,ridge,50,0.4741382949533464,0.18577847227566494,5
fixed,ridge,100,0.6167545994982117,0.02995617064568529,5
fixed,ridge,200,0.6790750401164342,0.05717511893980354,5
fixed,ridge,500,0.7578989583946034,0.02617914142721308,5
fixed,ridge,1000,0.7920758740604424,0.024073375714354275,5
fixed,ridge,2000,0.8060870756651524,0.020217322751723003,5
fixed,ridge,5000,0.8184237910230834,0.019723203083338005,5
fixed,ridge,10000,0.829798394580572,0.019085525199876958,5
fixed,tabicl,10,0.9370246850681813,0.006863384913330373,5
fixed,tabicl,20,0.9287628979847282,0.009136932753478785,5
fixed,tabicl,50,0.9198711743518588,0.013618695724445639,5
fixed,tabicl,100,0.9044034620686032,0.005549225529320622,5
fixed,tabicl,200,0.9001558327293224,0.010326927475540265,5
