model,regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error,signal_regime
nori,fixed_n,10,2000,0,1.0263518461449863,0.9569199199929616,15.122040033340454,,fixed
nori,fixed_n,10,2000,1,1.0956940147105103,0.9464311982793756,14.712170839309692,,fixed
nori,fixed_n,10,2000,2,1.0379398170132617,0.947590247999196,14.8749680519104,,fixed
nori,fixed_n,10,2000,3,1.049996417247643,0.9509850810514212,14.495808839797974,,fixed
nori,fixed_n,10,2000,4,1.1301873517597372,0.9449597572420207,14.833500862121582,,fixed
nori,fixed_n,20,2000,0,1.0439662831655043,0.9554285348313152,22.830121994018555,,fixed
nori,fixed_n,20,2000,1,1.0815380005054138,0.9478064400496544,30.65070104598999,,fixed
nori,fixed_n,20,2000,2,1.0637531727540808,0.9449509920943644,22.3688862323761,,fixed
nori,fixed_n,20,2000,3,1.0142377924055137,0.9542667323693906,20.712846040725708,,fixed
nori,fixed_n,20,2000,4,1.098364445889394,0.9480156775340072,20.666797161102295,,fixed
nori,fixed_n,50,2000,0,1.0504466196233149,0.9548734698546916,48.01834225654602,,fixed
nori,fixed_n,50,2000,1,1.0799125121539117,0.9479632098883224,50.66968607902527,,fixed
nori,fixed_n,50,2000,2,1.0765166732426663,0.9436220498964076,44.941689014434814,,fixed
nori,fixed_n,50,2000,3,1.032479496457494,0.952606855327573,38.46319222450256,,fixed
nori,fixed_n,50,2000,4,1.1352173702189066,0.9444687421560644,38.49622583389282,,fixed
nori,fixed_n,100,2000,0,1.0585321797834133,0.9541760949865322,73.06241989135742,,fixed
nori,fixed_n,100,2000,1,1.123775472637291,0.9436501906285673,74.03805303573608,,fixed
nori,fixed_n,100,2000,2,1.078165521358337,0.9434492149199636,79.28522682189941,,fixed
nori,fixed_n,100,2000,3,1.0613022942077135,0.9499238582030156,83.22516083717346,,fixed
nori,fixed_n,100,2000,4,1.1496000805904671,0.9430527146239192,68.99473094940186,,fixed
nori,fixed_n,200,2000,0,1.060559112394847,0.954000434960606,138.25893306732178,,fixed
nori,fixed_n,200,2000,1,1.1404549698573567,0.941965046957471,153.63754796981812,,fixed
nori,fixed_n,200,2000,2,1.1205437380924324,0.9389162929538456,191.37860202789307,,fixed
nori,fixed_n,200,2000,3,1.058713608811522,0.9501678476523604,179.24273014068604,,fixed
nori,fixed_n,200,2000,4,1.1773759728544666,0.9402676236334688,160.95675611495972,,fixed
nori,fixed_n,500,2000,0,1.2572083263698572,0.935360429393917,448.3348889350891,,fixed
nori,fixed_n,500,2000,1,1.2954737138881007,0.9251157363459864,408.4083640575409,,fixed
nori,fixed_n,500,2000,2,1.246851126579135,0.9243695013671578,481.1095130443573,,fixed
nori,fixed_n,500,2000,3,1.2483115569755117,0.9307214743026349,400.426805973053,,fixed
nori,fixed_n,500,2000,4,1.33666037028654,0.9230122549145718,427.0208411216736,,fixed
nori,fixed_n,1000,2000,0,1.298417841610396,0.9310533904591438,414.6713581085205,,fixed
nori,fixed_n,1000,2000,1,1.3447067806895423,0.9193157915382928,408.2952530384064,,fixed
nori,fixed_n,1000,2000,2,1.1701909983483387,0.9333835837002804,388.6829011440277,,fixed
nori,fixed_n,1000,2000,3,1.172570046762564,0.9388733991070844,392.2870879173279,,fixed
nori,fixed_n,1000,2000,4,1.2864545137528178,0.928687062594338,369.2192449569702,,fixed
nori,fixed_n,2000,2000,0,1.297214955270756,0.9311810789668632,396.84944796562195,,fixed
nori,fixed_n,2000,2000,1,1.2669680097413136,0.9283749972247348,379.8000280857086,,fixed
nori,fixed_n,2000,2000,2,1.2078081560452645,0.9290318187173412,387.8597252368927,,fixed
nori,fixed_n,2000,2000,3,1.1914052386742662,0.9368938529353948,391.5211639404297,,fixed
nori,fixed_n,2000,2000,4,1.334658948056198,0.9232426344931596,390.2555229663849,,fixed
nori,fixed_n,5000,2000,0,1.222725011373421,0.9388577301494696,400.7581000328064,,fixed
nori,fixed_n,5000,2000,1,1.2616827635702246,0.9289713282808516,393.4656910896301,,fixed
nori,fixed_n,5000,2000,2,1.221254567046231,0.9274428590609124,425.5221588611603,,fixed
nori,fixed_n,5000,2000,3,1.1877502126870916,0.9372804565790576,401.7590470314026,,fixed
nori,fixed_n,5000,2000,4,1.264636328996576,0.9310854757309291,394.880245923996,,fixed
nori,fixed_n,10000,2000,0,1.2792329480705475,0.9330757922422952,418.95104002952576,,fixed
nori,fixed_n,10000,2000,1,1.257528082573676,0.9294383483610996,432.024071931839,,fixed
nori,fixed_n,10000,2000,2,1.2396778791151857,0.9252372163626822,482.5010468959808,,fixed
nori,fixed_n,10000,2000,3,1.1566656518848746,0.9405203598295035,428.05562019348145,,fixed
nori,fixed_n,10000,2000,4,1.2751019453490493,0.9299401388921814,451.041335105896,,fixed
nori,scaling_n,10,200,0,1.999725208209896,0.8236623722127485,3.827172756195069,,fixed
nori,scaling_n,10,200,1,1.6457007934680132,0.8891109287194272,3.7933199405670166,,fixed
nori,scaling_n,10,200,2,1.8443106330151255,0.838890912823704,3.622917890548706,,fixed
nori,scaling_n,10,200,3,1.896201736303811,0.8392749306751608,3.6441709995269775,,fixed
nori,scaling_n,10,200,4,1.3510962535050866,0.921979041862279,3.644676923751831,,fixed
