model,regime,signal_regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error
nori,fixed_n,scaling,10,2000,0,1.0263518461449863,0.9569199199929616,14.81821894645691,
nori,fixed_n,scaling,10,2000,1,1.0956940147105103,0.9464311982793756,14.64292287826538,
nori,fixed_n,scaling,10,2000,2,1.0379398170132617,0.947590247999196,14.45795202255249,
nori,fixed_n,scaling,10,2000,3,1.049996417247643,0.9509850810514212,14.427698373794556,
nori,fixed_n,scaling,10,2000,4,1.1301873517597372,0.9449597572420207,14.56706404685974,
nori,fixed_n,scaling,20,2000,0,1.0439662831655043,0.9554285348313152,20.38459086418152,
nori,fixed_n,scaling,20,2000,1,1.0815380005054138,0.9478064400496544,20.278786182403564,
nori,fixed_n,scaling,20,2000,2,1.0637531727540808,0.9449509920943644,20.25720191001892,
nori,fixed_n,scaling,20,2000,3,1.0142377924055137,0.9542667323693906,20.21093988418579,
nori,fixed_n,scaling,20,2000,4,1.098364445889394,0.9480156775340072,20.30058765411377,
nori,fixed_n,scaling,50,2000,0,1.0504466196233149,0.9548734698546916,38.35929274559021,
nori,fixed_n,scaling,50,2000,1,1.0799125121539117,0.9479632098883224,38.51960897445679,
nori,fixed_n,scaling,50,2000,2,1.0765166732426663,0.9436220498964076,40.641221046447754,
nori,fixed_n,scaling,50,2000,3,1.032479496457494,0.952606855327573,39.39756536483765,
nori,fixed_n,scaling,50,2000,4,1.1352173702189066,0.9444687421560644,38.350066900253296,
nori,fixed_n,scaling,100,2000,0,1.0585321797834133,0.9541760949865322,69.4474549293518,
nori,fixed_n,scaling,100,2000,1,1.123775472637291,0.9436501906285673,69.79714512825012,
nori,fixed_n,scaling,100,2000,2,1.078165521358337,0.9434492149199636,69.23834085464478,
nori,fixed_n,scaling,100,2000,3,1.0613022942077135,0.9499238582030156,69.94536781311035,
nori,fixed_n,scaling,100,2000,4,1.1496000805904671,0.9430527146239192,69.0568950176239,
nori,fixed_n,scaling,200,2000,0,0.7250420843039933,0.9217972765602764,139.78137016296387,
nori,fixed_n,scaling,200,2000,1,0.7087110348916986,0.9088591307574632,135.40678572654724,
nori,fixed_n,scaling,200,2000,2,0.774806349557957,0.9074330215386336,138.68184089660645,
nori,fixed_n,scaling,200,2000,3,0.6776141044267147,0.9267445699936204,136.37917518615723,
nori,fixed_n,scaling,200,2000,4,0.7144599896143862,0.9219051168635588,136.8387098312378,
nori,fixed_n,scaling,500,2000,0,9.0224926204065,0.7324448051247452,403.5042014122009,
nori,fixed_n,scaling,500,2000,1,9.676949761572589,0.7166177317969469,371.7962520122528,
nori,fixed_n,scaling,500,2000,2,9.108943635656942,0.7614248243574584,352.0785582065582,
nori,fixed_n,scaling,500,2000,3,9.738512369314767,0.7506528695017779,395.1766610145569,
nori,fixed_n,scaling,500,2000,4,9.420024711519863,0.7480647178102793,364.365935087204,
nori,fixed_n,scaling,1000,2000,0,20.0430123684574,0.4189654679411753,365.5551919937134,
nori,fixed_n,scaling,1000,2000,1,19.82592240534576,0.4519249342198911,386.071533203125,
nori,fixed_n,scaling,1000,2000,2,19.94119443452027,0.4098152977145386,373.86066913604736,
nori,fixed_n,scaling,1000,2000,3,19.10936719862531,0.3803987379705762,362.4154260158539,
nori,fixed_n,scaling,1000,2000,4,19.772026307318704,0.4345031489236961,374.50712871551514,
nori,fixed_n,scaling,2000,2000,0,34.824175102357664,0.192390493977863,391.5318830013275,
nori,fixed_n,scaling,2000,2000,1,35.89988242449723,0.2146951989432451,400.56919288635254,
nori,fixed_n,scaling,2000,2000,2,33.14964160021167,0.2863394956419249,392.220321893692,
nori,fixed_n,scaling,2000,2000,3,31.447445542725305,0.3134751210410955,388.67689085006714,
nori,fixed_n,scaling,2000,2000,4,32.32961002522249,0.3348764408538598,371.05613112449646,
nori,fixed_n,scaling,5000,2000,0,50.64157588250426,0.1841098937682486,388.5087649822235,
nori,fixed_n,scaling,5000,2000,1,51.36445739422854,0.1606250674172381,395.70218420028687,
nori,fixed_n,scaling,5000,2000,2,52.078558443360905,0.1872568918439712,406.6548800468445,
nori,fixed_n,scaling,5000,2000,3,50.55876332364214,0.2484115365754654,410.4671630859375,
nori,fixed_n,scaling,5000,2000,4,50.007092338339895,0.2103525168253678,395.4174411296845,
nori,fixed_n,scaling,10000,2000,0,63.00095023825832,0.1025260608722402,427.4368019104004,
nori,fixed_n,scaling,10000,2000,1,62.15915303290208,0.0908855729565313,416.3278057575226,
nori,fixed_n,scaling,10000,2000,2,61.94747654378853,0.1184388708271104,412.7816832065582,
nori,fixed_n,scaling,10000,2000,3,65.42870208294346,0.0943813114252221,416.43159198760986,
nori,fixed_n,scaling,10000,2000,4,66.25716239511324,0.0816063163735493,417.802680015564,
random_forest,fixed_n,scaling,10,2000,0,2.356888786598435,0.7728241582923712,0.2309451103210449,
random_forest,fixed_n,scaling,10,2000,1,2.118819904416027,0.7996813238804824,0.2289788722991943,
random_forest,fixed_n,scaling,10,2000,2,2.06198005275315,0.7931589760616825,0.2373702526092529,
random_forest,fixed_n,scaling,10,2000,3,2.3525966143662567,0.7539362774976288,0.2192189693450927,
random_forest,fixed_n,scaling,10,2000,4,2.3807073371633427,0.7557742363838322,0.2257778644561767,
random_forest,fixed_n,scaling,20,2000,0,2.5720190923887176,0.7294594667715424,0.2481601238250732,
random_forest,fixed_n,scaling,20,2000,1,2.405182456530681,0.7418753928569168,0.2475378513336181,
random_forest,fixed_n,scaling,20,2000,2,2.272116498038337,0.7488524476291694,0.246323823928833,
random_forest,fixed_n,scaling,20,2000,3,2.509335744444497,0.7200566209577013,0.2455332279205322,
random_forest,fixed_n,scaling,20,2000,4,2.6866518502578187,0.6889700293214711,0.3246779441833496,
random_forest,fixed_n,scaling,50,2000,0,2.6086549751019397,0.7216974085526859,0.3440101146697998,
random_forest,fixed_n,scaling,50,2000,1,2.633810037980218,0.6904703545873824,0.3314130306243896,
random_forest,fixed_n,scaling,50,2000,2,2.355933525105937,0.7299813110961678,0.3048460483551025,
random_forest,fixed_n,scaling,50,2000,3,2.485016597600145,0.7254564519513049,0.3170831203460693,
random_forest,fixed_n,scaling,50,2000,4,2.7267447057065333,0.6796177754844355,0.331270694732666,
random_forest,fixed_n,scaling,100,2000,0,2.6896903945613113,0.7041384354279652,0.4185860157012939,
random_forest,fixed_n,scaling,100,2000,1,2.3482036569542326,0.7539604787539995,0.4412460327148437,
random_forest,fixed_n,scaling,100,2000,2,2.347460161529394,0.7319201196768554,0.4211750030517578,
random_forest,fixed_n,scaling,100,2000,3,2.5525549717125293,0.7103304384007672,0.4503581523895263,
random_forest,fixed_n,scaling,100,2000,4,2.576309649359069,0.7139937158243184,0.5742130279541016,
random_forest,fixed_n,scaling,200,2000,0,1.7461440401801336,0.5464182431406519,0.5374410152435303,
random_forest,fixed_n,scaling,200,2000,1,1.6785912774214378,0.4887130588832309,0.4381811618804931,
random_forest,fixed_n,scaling,200,2000,2,1.783198608822084,0.5096917746827585,0.43572998046875,
random_forest,fixed_n,scaling,200,2000,3,1.846344576942052,0.4561232948447931,0.4375748634338379,
random_forest,fixed_n,scaling,200,2000,4,1.7465582266772837,0.5333052763336832,0.443476915359497,
random_forest,fixed_n,scaling,500,2000,0,13.96468144999571,0.3590526098761086,0.8363759517669678,
random_forest,fixed_n,scaling,500,2000,1,14.30453974931064,0.3807821358452834,1.030198097229004,
random_forest,fixed_n,scaling,500,2000,2,14.637446279286404,0.3839444831402649,0.9331440925598145,
random_forest,fixed_n,scaling,500,2000,3,14.71226161598985,0.4309138551451039,0.9133999347686768,
random_forest,fixed_n,scaling,500,2000,4,14.04377749225644,0.4400454368678675,1.075650930404663,
random_forest,fixed_n,scaling,1000,2000,0,23.186508383407613,0.2224171686614297,1.1640291213989258,
random_forest,fixed_n,scaling,1000,2000,1,22.603360051814192,0.2876076511109344,1.1449317932128906,
random_forest,fixed_n,scaling,1000,2000,2,22.76885777412214,0.2305717976307407,1.128248691558838,
random_forest,fixed_n,scaling,1000,2000,3,20.980584535594954,0.2531130869538652,1.0114617347717283,
random_forest,fixed_n,scaling,1000,2000,4,22.56649285041778,0.2633588605244322,1.1177451610565186,
random_forest,fixed_n,scaling,2000,2000,0,33.960565030238435,0.2319498803240565,1.7658307552337646,
random_forest,fixed_n,scaling,2000,2000,1,35.086168289088064,0.2498915041883315,2.177144765853882,
random_forest,fixed_n,scaling,2000,2000,2,33.07199660229424,0.2896787337705052,1.8951029777526855,
random_forest,fixed_n,scaling,2000,2000,3,33.42086078771862,0.2246089290501598,2.0306408405303955,
random_forest,fixed_n,scaling,2000,2000,4,33.79458385483295,0.2732323209884355,1.891193151473999,
random_forest,fixed_n,scaling,5000,2000,0,53.19647519600548,0.099708899806284,2.4637510776519775,
random_forest,fixed_n,scaling,5000,2000,1,53.02992328227567,0.1053099995072964,2.5375449657440186,
random_forest,fixed_n,scaling,5000,2000,2,54.75137604806498,0.1016915928665913,2.673318862915039,
random_forest,fixed_n,scaling,5000,2000,3,54.69067568971567,0.120544643744517,2.6659200191497803,
random_forest,fixed_n,scaling,5000,2000,4,52.98692064989213,0.1134414730483466,2.6800198554992676,
random_forest,fixed_n,scaling,10000,2000,0,64.42722191694989,0.0614304577420453,3.648932218551636,
random_forest,fixed_n,scaling,10000,2000,1,63.03873124661651,0.0649748323328097,3.763219833374023,
random_forest,fixed_n,scaling,10000,2000,2,64.00351814368993,0.0589495936815563,3.683410167694092,
random_forest,fixed_n,scaling,10000,2000,3,67.13200949399746,0.0466155584416474,3.80036997795105,
random_forest,fixed_n,scaling,10000,2000,4,66.65036505780247,0.0706735705255069,3.857646942138672,
ridge,fixed_n,scaling,10,2000,0,4.124562883530196,0.3042714522268275,0.0229249000549316,
ridge,fixed_n,scaling,10,2000,1,4.126378813607152,0.2402485404058181,0.0016372203826904,
ridge,fixed_n,scaling,10,2000,2,3.0556126602321614,0.5457819785572777,0.0014660358428955,
